image_id,image_path,detections,max_confidence,avg_confidence
1125.0,data\processed\images_all\1125.0.jpg,0,0.0,0.0
1126.0,data\processed\images_all\1126.0.jpg,0,0.0,0.0
1127.0,data\processed\images_all\1127.0.jpg,0,0.0,0.0
1128.0,data\processed\images_all\1128.0.jpg,0,0.0,0.0
1129.0,data\processed\images_all\1129.0.jpg,0,0.0,0.0
113.0,data\processed\images_all\113.0.jpg,0,0.0,0.0
1130.0,data\processed\images_all\1130.0.jpg,0,0.0,0.0
1131.0,data\processed\images_all\1131.0.jpg,0,0.0,0.0
1132.0,data\processed\images_all\1132.0.jpg,0,0.0,0.0
1133.0,data\processed\images_all\1133.0.jpg,0,0.0,0.0
1134.0,data\processed\images_all\1134.0.jpg,0,0.0,0.0
1135.0,data\processed\images_all\1135.0.jpg,0,0.0,0.0
1136.0,data\processed\images_all\1136.0.jpg,0,0.0,0.0
1137.0,data\processed\images_all\1137.0.jpg,0,0.0,0.0
1138.0,data\processed\images_all\1138.0.jpg,0,0.0,0.0
1139.0,data\processed\images_all\1139.0.jpg,0,0.0,0.0
114.0,data\processed\images_all\114.0.jpg,0,0.0,0.0
1140.0,data\processed\images_all\1140.0.jpg,0,0.0,0.0
1141.0,data\processed\images_all\1141.0.jpg,0,0.0,0.0
1142.0,data\processed\images_all\1142.0.jpg,0,0.0,0.0
1143.0,data\processed\images_all\1143.0.jpg,0,0.0,0.0
1144.0,data\processed\images_all\1144.0.jpg,0,0.0,0.0
1145.0,data\processed\images_all\1145.0.jpg,0,0.0,0.0
1146.0,data\processed\images_all\1146.0.jpg,0,0.0,0.0
1147.0,data\processed\images_all\1147.0.jpg,0,0.0,0.0
1148.0,data\processed\images_all\1148.0.jpg,0,0.0,0.0
1149.0,data\processed\images_all\1149.0.jpg,0,0.0,0.0
115.0,data\processed\images_all\115.0.jpg,0,0.0,0.0
1150.0,data\processed\images_all\1150.0.jpg,0,0.0,0.0
1151.0,data\processed\images_all\1151.0.jpg,0,0.0,0.0
1152.0,data\processed\images_all\1152.0.jpg,0,0.0,0.0
1153.0,data\processed\images_all\1153.0.jpg,0,0.0,0.0
1154.0,data\processed\images_all\1154.0.jpg,0,0.0,0.0
1155.0,data\processed\images_all\1155.0.jpg,0,0.0,0.0
1156.0,data\processed\images_all\1156.0.jpg,0,0.0,0.0
1157.0,data\processed\images_all\1157.0.jpg,0,0.0,0.0
1158.0,data\processed\images_all\1158.0.jpg,0,0.0,0.0
1159.0,data\processed\images_all\1159.0.jpg,0,0.0,0.0
116.0,data\processed\images_all\116.0.jpg,0,0.0,0.0
1160.0,data\processed\images_all\1160.0.jpg,0,0.0,0.0
1161.0,data\processed\images_all\1161.0.jpg,0,0.0,0.0
1162.0,data\processed\images_all\1162.0.jpg,0,0.0,0.0
1163.0,data\processed\images_all\1163.0.jpg,0,0.0,0.0
1164.0,data\processed\images_all\1164.0.jpg,0,0.0,0.0
1165.0,data\processed\images_all\1165.0.jpg,0,0.0,0.0
1166.0,data\processed\images_all\1166.0.jpg,0,0.0,0.0
1167.0,data\processed\images_all\1167.0.jpg,0,0.0,0.0
1168.0,data\processed\images_all\1168.0.jpg,0,0.0,0.0
1169.0,data\processed\images_all\1169.0.jpg,0,0.0,0.0
117.0,data\processed\images_all\117.0.jpg,0,0.0,0.0
1170.0,data\processed\images_all\1170.0.jpg,0,0.0,0.0
1171.0,data\processed\images_all\1171.0.jpg,0,0.0,0.0
1172.0,data\processed\images_all\1172.0.jpg,0,0.0,0.0
1173.0,data\processed\images_all\1173.0.jpg,0,0.0,0.0
1174.0,data\processed\images_all\1174.0.jpg,0,0.0,0.0
1175.0,data\processed\images_all\1175.0.jpg,0,0.0,0.0
1176.0,data\processed\images_all\1176.0.jpg,0,0.0,0.0
1177.0,data\processed\images_all\1177.0.jpg,0,0.0,0.0
1178.0,data\processed\images_all\1178.0.jpg,0,0.0,0.0
1179.0,data\processed\images_all\1179.0.jpg,0,0.0,0.0
118.0,data\processed\images_all\118.0.jpg,0,0.0,0.0
1180.0,data\processed\images_all\1180.0.jpg,0,0.0,0.0
1181.0,data\processed\images_all\1181.0.jpg,0,0.0,0.0
1182.0,data\processed\images_all\1182.0.jpg,0,0.0,0.0
1183.0,data\processed\images_all\1183.0.jpg,0,0.0,0.0
1184.0,data\processed\images_all\1184.0.jpg,0,0.0,0.0
1185.0,data\processed\images_all\1185.0.jpg,0,0.0,0.0
1186.0,data\processed\images_all\1186.0.jpg,0,0.0,0.0
1187.0,data\processed\images_all\1187.0.jpg,0,0.0,0.0
1188.0,data\processed\images_all\1188.0.jpg,0,0.0,0.0
1189.0,data\processed\images_all\1189.0.jpg,0,0.0,0.0
119.0,data\processed\images_all\119.0.jpg,0,0.0,0.0
1190.0,data\processed\images_all\1190.0.jpg,0,0.0,0.0
1191.0,data\processed\images_all\1191.0.jpg,0,0.0,0.0
1192.0,data\processed\images_all\1192.0.jpg,0,0.0,0.0
1193.0,data\processed\images_all\1193.0.jpg,0,0.0,0.0
